Page #,Song Name,Composer,Tonic,Mode,RangeStart,RangeEnd
026,SAMARIA,"Maggie Denson-Cagle, 1936",F,minor,C3,F5
027,BETHEL,"William Cowper, 1772",F,minor,C3,F5
028b,WELLS,"Israel Holdroyd, 1724",G,major,G2,G5
028t,AYLESBURY,"A Book of Psalmody, 1718",A,minor,A2,G5
029b,TRIBULATION,"Patterson's Church Music, 1813",D,minor,A2,G5
029t,FAIRFIELD,Hitchcock,A,minor,A2,F5
030b,PROSPECT,"Graham, 1835.",C,major,C3,A5
030t,LOVE DIVINE,"Thomas Waller, 1869",C,major,C3,A5
031b,WEBSTER,"Arr. - Southern Harmony, 1835.",G,major,G2,G5
031t,NINETY-THIRD PSALM (KENTUCKY),"Arr. - Lucius Chapin, 1812.",C,major,C3,G5
032b,DISTRESS,"Southern Harmony, 1835",E,minor,B2,G5
032t,CORINTH,"Arr. - John Massengale, 1844.",G,major,G2,G5
033b,ABBEVILLE,"Arr. - E. J. King, 1844.",G,major,G2,G5
033t,WEEPING SAVIOR,"Arr. - E. J. King, 1844",F#,minor,C#3,F#5
034b,ST. THOMAS,"Aaron Williams, 1770.",A,major,A2,F#5
034t,THE GOSPEL POOL,"Edmund Dumas, 1869.",F,major,C3,A5
035,SAINTS BOUND FOR HEAVEN,"J. King and William Walker,1840.",B-,major,B-2,G5
036b,NINETY-FIFTH,"Patterson's Church Music, 1813.",A,major,A2,E5
036t,AMERICA,"Truman S. Wetmore, 1798",A,minor,A2,G5
037b,LIVERPOOL,"Arr. - M. C. H. Davis, 1835",F,major,C3,F5
037t,ESTER,"John S. Terry, 1869.",F,major,C3,F5
038b,WINDHAM,"Daniel Read, 1785",E,minor,B2,E5
038t,WINTER,"Daniel Read, 1785.",F,major,F2,F5
039b,SHARPSBURG,"J. P. Reese and J. A. Shell, 1869.",D,major,A2,F#5
039t,DETROIT,"Bradshaw, 1820.",E,minor,B2,E5
040,LENOX,"Lewis Edson, 1782.",B-,major,B-2,F5
041,HOME IN HEAVEN,"Arr. - W. W. Parks and M. H. Thomas, 1869.",F,major,B-2,A5
042,CLAMANDA,,E,minor,B2,F#5
043,PRIMROSE HILL,,G,major,G2,G5
044,THE CONVERTED THIEF,"William Moore, 1825.",C,major,C3,G5
045b,IMANDRA NEW,"Southern Harmony, 1835.",F,major,C3,A5
045t,NEW BRITAIN,"Columbian Harmony, 1829.",C,major,C3,G5
046,LET US SING,"Arr. - W. F. Moore, 1867.",G,major,G2,G5
047b,IDUMEA,"Ananias Davisson, 1816",A,minor,A2,G5
047t,PRIMROSE,"Amzi Chapin, 1812",A,major,A2,F#5
048b,KEDRON,"United States Sacred Harmony, 1799",E,minor,B2,F#5
048t,DEVOTION,"Alexander Johnson, 1818.",C,major,C3,G5
049b,MEAR,"A Set of Tunes, 1820.",G,major,G2,G5
049t,OLD HUNDRED,"Psaumes de David, 1551.",A,major,A2,E5
050b,HUMILITY,"David Grant, 1988.",E,major,B2,G#5
050t,MORTALITY,"Daniel Read, 1785.",E,minor,A2,E5
051,MY HOME,"Arr. - C. F. Letson, 1869.",E,minor,B2,G5
052b,CHARLESTOWN,"United States Sacred Harmony, 1799.",F,major,B-2,F5
052t,ALBION,"Robert Boyd, 1816.",G,major,G2,E5
053,JERUSALEM,"Arr. - William Walker, 1835.",A,minor,A2,G5
054,THE BLESSED LAMB,,C,major,B2,G5
055,SISTER'S FAREWELL,"A. J. McLendon, 1905.",F,major,C3,A5
056b,VILLULIA,"J. M. Day, 1850",C#,minor,B2,F#5
056t,COLUMBIANA,"D. P. White, 1850",C,major,G2,G5
057,CHRISTIAN SOLDIER,"F. Price, 1835.",G,major,G2,G5
058,PISGAH,"J. C. Lowry, 1817",A-,major,A-2,F5
059,HOLY MANNA,"William Moore, 1825.",C,major,C3,G5
060,DAY OF WORSHIP,"R. F. & E. K. Davis, 1848.",G,major,G2,G5
061,SWEET RIVERS,"William Moore, 1825.",F,major,C3,G5
062,PARTING HAND,"Arr. - William Walker,1835.",G,major,G2,G5
063,CORONATION,"Oliver Holden, 1793",G,major,G2,E5
064,NASHVILLE,"Alexander Johnson, 1821.",A,major,A2,E5
065,SWEET PROSPECT,"William Walker, 1833",E,minor,B2,E5
066,JORDAN (First),"William Billings, 1786.",A,major,A2,F#5
067,COLUMBUS,"Columbian Harmony, 1829",F#,minor,C#3,F#5
068b,ORTONVILLE,"Thomas Hastings, 1837.",B-,major,B-2,F5
068t,SALEM,"Bovelle, 1817.",B,minor,B2,F#5
069b,FAREWELL TO ALL (FIRST),"J. P. Reese, 1859.",G,minor,G2,G5
069t,MINISTER'S FAREWELL,"Wyeth's Repository, Part Second, 1813.",E,minor,G2,G5
070b,"SAVE, MIGHTY LORD","J. A. and J. F. Wade, 1854.",F,minor,C3,F5
070t,GAINSVILLE,"W. D. Jones, 1869.",A,major,D3,A5
071,LEANDER,"Tennessee Harmony, 1818.",A,minor,A2,E5
072b,BELLEVUE,"Arr. - Z. Chambless, 1844",B-,major,B-2,F5
072t,THE WEARY SOUL,"J. T. White, 1844",F,major,C3,A5
073b,ARLINGTON,"Thomas A. Arne, 1762.",G,major,G2,E5
073t,CUSSETTA,"John Massengale, 1844.",B-,major,B-2,G5
074b,KING OF PEACE,"Arr. - F. Price, 1835.",A,minor,A2,G5
074t,THE ENQUIRER,"B. F. White, 1844.",D,minor,C3,G5
075,I WOULD SEE JESUS,"L. P. Breedlove, 1867.",C#,major,A-2,F5
076b,DESIRE FOR PIETY,"B. F. White, 1844",C,major,C3,G5
076t,HOLINESS,"Arr. - E. J. King, 1844.",G,major,D3,G5
077b,HOLCOMBE,"Charlene Wallace, 1986.",C,major,G2,E5
077t,CHILD OF GRACE,"Arr. - E. J. King, 1844.",A,minor,A2,A5
078,STAFFORD,"Daniel Read, 1782.",A,major,A2,E5
079,THE OLD SHIP OF ZION,"Arr. - Thomas W. Carter, 1844.",E-,major,B-2,E-5
080b,SERVICE OF THE LORD,"Arr. - E. J. King, 1944.",F,major,C3,A5
080t,SHOUTING SONG,"B. F. White, 1844.",F#,minor,F#2,G#5
081b,COOKHAM,"Harmonia Sacra, 1760.",G,major,B2,E5
081t,BEACH SPRING,"B. F. White, 1844",A,major,A2,F#5
082b,EDGEFIELD,"Arr. - J. T. White, 1844.",F#,minor,A2,A5
082t,BOUND FOR CANAAN,"Arr. - E. J. King, 1844.",B-,major,B-2,G5
083b,THE DYING MINISTER,"Edmund Dumas, 1854.",F,major,C3,F5
083t,VALE OF SORROW,"B. F. White, 1844.",A,minor,A2,E5
084,AMSTERDAM,"Foundery Collection, 1742",G,major,D3,E5
085,THE MORNING TRUMPET,"B. F. White, 1844",F#,minor,C#3,G#5
086,POLAND,"Timothy Swan, 1785.",C#,minor,G#2,F#5
087,SWEET CANAAN,"Arr. - E. J. King, 1844.",F,major,C3,F5
088b,MOUNT ZION (Second),"John Massengale, 1844.",F,major,C3,G5
088t,DONE WITH THE WORLD,"B. F. White, 1844.",F,major,C3,A5
089,THE CHURCH'S DESOLATION,"J. T. White, 1844.",B-,major,B-2,F5
090,LOOK OUT,"B. F. White, 1844.",A,major,A2,A5
091,ASSURANCE,"William Billings, 1781.",A,major,A2,A5
092,BURK,"B. F. White, 1844.",F,major,C3,F5
093,FROZEN HEART,"Arr. - E. J. King, 1844.",F,major,C3,A5
094 - Denson,NEVER PART,,F,major,B-2,G5
095,VERNON,"Arr. - Lucius Chapin, 1813.",E,minor,B2,G5
096,FEW HAPPY MATCHES,"B. F. White and E. J. King, 1844.",A,major,A2,F#5
097,WE'LL SOON BE THERE,"Arr. - Oliver Bradfield, 1859.",G,major,G2,G5
098,DULL CARE,"Arr. E. J. King, 1844.",B-,major,B-2,F5
099,GOSPEL TRUMPET,"Arr. - E. J. King, 1844.",A,major,A2,F#5
0page 24,"THE YOUNG CONVERT, Rudiments","Christian Harmony, 1805",C,major,C3,A5
100,THE BOWER OF PRAYER,"Arr. - E. J. King, 1944.",A,major,A2,F#5
101b,HOLY CITY,"B. F. White, 1844.",F#,minor,C#3,F#5
101t,CANAAN'S LAND,"Arr. -  E. J. King, 1844",A,major,A2,F#5
102,FULFILLMENT,"Arr. - E. J. King, 1844.",E,minor,A2,E5
103,ANIMATION,"Southern Harmony, 1835.",G,major,C3,G5
104,THE LOVELY STORY,"Arr. - E. J. King, ca. 1844.",G,major,G2,E5
105,JEWETT,"R. F. M. Mann, 1869.",F,major,C3,F5
106,ECSTASY,"T. W. Carter, 1844.",E,minor,A2,G5
107,RUSSIA,"Daniel Read, 1786",A,minor,A2,E5
108b,THE TRAVELER,"Arr. - Absalom Ogletree, 1868.",A,minor,A2,G5
108t,WEEPING SINNERS,"J. P. Reese, 1868.",C,major,C3,G5
109,CARNSVILLE,"Arr.- E. J. King, 1844.",B-,major,B-2,G5
110,MOUNT VERNON,"Stephen Jenks, 1799.",E,minor,B2,G5
111b,TO DIE NO MORE,"Edmund Dumas, 1856.",A,major,A2,A5
111t,JOURNEY HOME,"R. F. M. Mann, 1868.",G,major,D3,E5
112,THE LAST WORDS OF COPERNICUS,"Sarah Lancaster, 1869",F,major,C3,A5
113,THE PRODIGAL SON,"Arr. - E. J. King, 1844.",A,major,A2,F#5
114,SAINT'S DELIGHT,"F. Price, 1835.",F#,minor,C#3,F#5
115,EDMONDS,"Edmund Dumas, 1859.",F#,minor,C#3,A5
116,UNION,"Arr.- E. J. King, 1844",A,minor,A2,G5
117,BABYLON IS FALLEN,"W. E. Chute, 1878",E,minor,B2,F#5
118,STOCKWOOD,"M. Mark Wynn, 1869",A,minor,A2,G5
119,HEAVEN'S MY HOME,"R. H. David and J. S. Terry, 1869.",G,major,G2,G5
120,CHAMBERS,"Arr. - B. F. White, 1869.",D,major,A2,A5
121,FLORENCE,"T. W. Carter, 1844.",F,major,C3,A5
122,ALL IS WELL,"Arr. - J. T. White, 1844.",A,major,A2,F#5
123b,CROSS OF CHRIST,"L. P. Breedlove, 1844.",G,minor,C3,G5
123t,THE DYING CHRISTIAN,"Arr.- E. J. King, 1844.",A,major,A2,A5
124,LOVER OF THE LORD,"Arr. - R. H. Reeves, 1869.",A,major,A2,A5
125,EXPRESSION,,D,minor,C3,A5
126,BABEL'S STREAMS,"Stephen Jenks, 1811.",E,minor,B2,G5
127,GREEN FIELDS,,G,major,G2,E5
128,THE PROMISED LAND,"Arr. - M. Durham, 1835.",F#,minor,C#3,F#5
129,HEAVENLY ARMOR,"William Walker, 1828.",C,major,C3,G5
130,MILLENNIUM,Alto by W. R. McCoy.,F,major,C3,A5
131b,INVOCATION,"Southern Harmony, 1835.",G,major,G2,E5
131t,MESSIAH,"James P. Carrell, 1821",F#,minor,B2,F#5
132,SINNER'S FRIEND,"J. P. Reese, 1869.",F#,minor,C#3,F#5
133,HEBREW CHILDREN,"Arr. - B. F. White, 1844.",D,minor,A2,F5
134,THE CHRISTIAN'S HOPE,"William Walker, 1835.",A,major,A2,A5
135,OLNEY,"Tennessee Harmony, 1818.",F,major,C3,F5
136,MORALITY,,G,major,G2,G5
137,LIBERTY,"Stephen Jenks, 1800.",F,major,C3,G5
138b,OGLETREE,"S. M. Brown, 1869.",G,major,G2,G5
138t,ADORATION,"W. W. Parks, 1869.",G,major,D3,E5
139,ELYSIAN,,G,major,G2,A5
140,SWEET SOLITUDE,"Southern Harmony, 1835.",A,major,A2,A5
141,COMPLAINER,"William Walker, 1835.",G,major,G2,G5
142,STRATFIELD,"Ezra Goff, 1786",F#,minor,A2,F#5
143,PLEYEL'S HYMN (FIRST),Ignaz Joseph Pleyel.,F,major,B-2,F5
144,JUBILEE,"Supplement to the Kentucky Harmony, 1820.",A,major,A2,F#5
145b,SWEET AFFLICTION,"J. J. Rousseau.   Arr. - Lowell Mason, 1823.",F,major,B-2,F5
145t,WARRENTON,"J. Williams, & William Walker, 1835.",G,major,G2,G5
146,HALLELUJAH,"William Walker, 1835",A-,major,A-2,E-5
147b,LABAN,"Lowell Mason, 1830",C,major,G2,E5
